review_status	case_id	case_path	pr_number	pr_title	test_type	test_path	test_name	failure_signature	patch_url	候选细粒度机制	是否适合单独成subpattern	边界/相邻模式	备注
reviewed	pr-170	cases/2015/09/pr-170.json	170	TiDB MySQL protocol server	unit	Godeps/_workspace/src/github.com/go-sql-driver/mysql/benchmark_test.go	TestConcurrent	+ - Fixed TestConcurrent test to pass Go's race detection	https://github.com/pingcap/tidb/pull/170.patch	并发测试中的共享计数器/一次性初始化无同步	否	更像 vendored 并发测试通用补同步，无明确 TiDB 异步业务对象	patch 实际是依赖侧 benchmark 并发测试补 `atomic`/`sync.Once`；可保留为边界样本，但不宜作为 TiDB 子模式种子
reviewed	pr-625	cases/2015/11/pr-625.json	625	performance turning	unit	store/localstore/isolation_test.go	isolation_test	Fix data race	https://github.com/pingcap/tidb/pull/625.patch	goroutine 闭包复用外层 err 变量	部分适合	同 case 还混有 sync.WaitGroup 所有权/复制问题	先记最稳定主机制；后续可能拆成“外层变量复用”和“复制 sync 原语”两类
reviewed	pr-672	cases/2015/12/pr-672.json	672	session_test: Fix data race	unit	session_test.go	session_test	session_test: Fix data race	https://github.com/pingcap/tidb/pull/672.patch	goroutine 闭包复用外层 err 变量	是	与“闭包捕获循环变量”相邻，但这里是外层错误变量共享	高纯度样例
reviewed	pr-1407	cases/2016/07/pr-1407.json	1407	*: fix data races detected by go test -race	unit	server/tidb_test.go	tidb_test	*: fix data races detected by go test -race	https://github.com/pingcap/tidb/pull/1407.patch	共享 map / 迭代器生命周期状态无锁	否	多机制混合汇总 case	更像多个 race 修复打包，不宜直接拿来定义单一 subpattern
reviewed	pr-1521	cases/2016/07/pr-1521.json	1521	*: Pass make race	unit	ddl/column_test.go	column_test	*: Pass make race	https://github.com/pingcap/tidb/pull/1521.patch	异步 callback 读写共享标志/任务列表无锁	部分适合	同 case 还混有 iterator Close/finished 生命周期 race	后续可能拆成 callback-state 与 iterator-lifecycle 两个子簇
reviewed	pr-1617	cases/2016/08/pr-1617.json	1617	*: pass make race	unit	ddl/index_test.go	index_test	server: prevent running go test race	https://github.com/pingcap/tidb/pull/1617.patch	DDL hook callback / hook 赋值并发访问无锁	是	与通用“异步 callback 读写共享测试状态”相邻，但 DDL hook 特征更强	非常接近用户给的 DDL hook callback 粒度
reviewed	pr-1656	cases/2016/08/pr-1656.json	1656	*: Pass make race in the DDL test	unit	ddl/ddl_db_test.go	ddl_db_test	*: Pass make race in the DDL test	https://github.com/pingcap/tidb/pull/1656.patch	goroutine 复用共享 session/test helper 执行 DDL	是	与共享 context/txn/session 对象跨 goroutine 复用相邻	适合与同类 DDL async session case 合并
reviewed	pr-1669	cases/2016/09/pr-1669.json	1669	ddl: Pass make race	unit	ddl/ddl_db_test.go	ddl_db_test	ddl: Pass make race	https://github.com/pingcap/tidb/pull/1669.patch	goroutine 复用共享 session/test helper 执行 DDL	是	与共享 context/txn/session 对象跨 goroutine 复用相邻	与 pr-1656 基本同型
reviewed	pr-1687	cases/2016/09/pr-1687.json	1687	*: make race with debug level	unit	ddl/column_change_test.go	column_change_test	*: make race with debug level	https://github.com/pingcap/tidb/pull/1687.patch	DDL hook callback 写共享变量无锁	是	与通用异步 callback 读写共享测试状态相邻，但 DDL hook + table handle 特征更强	高价值种子，和用户示例几乎一致
reviewed	pr-1759	cases/2016/09/pr-1759.json	1759	*: Add row count field in a job, fix a drop schema bug and pass race	unit	ddl/bg_worker_test.go	bg_worker_test	*: Add row count field in a job, fix a drop schema bug and pass race	https://github.com/pingcap/tidb/pull/1759.patch	DDL hook callback / hook 指针更新与调用无锁	是	与“DDL hook callback 写共享变量无锁”同族，可能再按 hook 指针更新 vs hook 内共享状态细分	包含 OnChanged / OnJobUpdated / OnBgJobUpdated 这类 DDL hook wrapper
reviewed	pr-1789	cases/2016/09/pr-1789.json	1789	store/tikv: fix a data race.	unit	store/tikv/store_test.go	store_test	store/tikv: fix a data race.	https://github.com/pingcap/tidb/pull/1789.patch	mock oracle 时间戳状态读写用错锁模式	部分适合	与通用 mock 共享状态无锁相邻，但这里更具体是 RLock/Lock 误用	raw patch 显示 GetTimestamp 从 RLock/RUnlock 改成 Lock/Unlock
reviewed	pr-1903	cases/2016/10/pr-1903.json	1903	ddl: Pass go race	unit	ddl/index_change_test.go	index_change_test	ddl: Pass go race	https://github.com/pingcap/tidb/pull/1903.patch	DDL hook callback 复用共享 context 对象	是	与“DDL hook callback 写共享变量无锁”相邻，但这里主问题是 callback 沿用外部 ctx	raw patch 在 callback 内新建 ctx1，替代共享 ctx
reviewed	pr-2024	cases/2016/11/pr-2024.json	2024	ddl: Pass race	unit	ddl/ddl_test.go	ddl_test	ddl: Pass race	https://github.com/pingcap/tidb/pull/2024.patch	mock context 的 GetTxn 无锁并发访问	是	与“goroutine 复用共享 session/context”相邻，但这里更聚焦 GetTxn/txn 字段无锁	raw patch 将 reorgContext/newReorgContext 替换为带 mutex 的 mockContext/newMockContext
reviewed	pr-2054	cases/2016/11/pr-2054.json	2054	ddl: Fix the data race in foreign_key_test.go	unit	ddl/foreign_key_test.go	foreign_key_test	ddl: Fix the data race in foreign_key_test.go	https://github.com/pingcap/tidb/pull/2054.patch	DDL hook callback 写共享检查标志无锁	是	与通用 callback 写共享测试状态相邻，但 DDL hook + checkOK flag 特征明确	raw patch 在 onJobUpdated 写 checkOK 和主线程断言 checkOK 两侧都补了 mutex
reviewed	pr-2062	cases/2016/11/pr-2062.json	2062	domain: Fix data race	unit	domain/domain_test.go	domain_test	domain: Fix data race	https://github.com/pingcap/tidb/pull/2062.patch	后台 reload 路径并发读写 mock 失败开关	是	与全局开关被后台读取相邻，但这里是 Domain.SchemaValidity 内部 mock flag	raw patch 将 MockReloadFailed bool 升级为带 RWMutex 的 MockFailure/MockFailed 封装
reviewed	pr-2106	cases/2016/11/pr-2106.json	2106	executor: fix a bug when join exists in subquery.	unit	executor/executor_test.go	executor_test	pass make race.	https://github.com/pingcap/tidb/pull/2106.patch	Close 与 worker goroutine 并发竞争 finished 标志和 channel 关闭	是	与通用关闭时序/worker shutdown 协调问题相邻	case 说明和 raw patch 都显示 HashJoinExec.Close、fetchBigExec、join worker 在 finished/result channel 上竞争
reviewed	pr-2130	cases/2016/11/pr-2130.json	2130	sessionctx/binloginfo: fix race.	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	sessionctx/binloginfo: fix race.	https://github.com/pingcap/tidb/pull/2130.patch	teardown 先清共享全局 PumpClient 再停后台 DDL	是	与“测试改写全局开关被异步路径读取”相邻，但这里更具体是 teardown 顺序错误	raw patch 在 TearDownSuite 里先 s.ddl.Stop() 再 binloginfo.PumpClient = nil
reviewed	pr-2132	cases/2016/11/pr-2132.json	2132	*: Remove mockContext in the package of ddl	unit	ddl/ddl_test.go	ddl_test	+ // Fix data race in ddl test.	https://github.com/pingcap/tidb/pull/2132.patch	测试复用非线程安全 mock context 的 GetTxn	是	与 mock context.GetTxn 无锁并发访问 同族	raw patch 删除 ddl 私有 mockContext，改用 util/mock.Context 并在 GetTxn 内加 mutex
reviewed	pr-2167	cases/2016/12/pr-2167.json	2167	ddl: Pass data race	unit	ddl/column_change_test.go	column_change_test	ddl: Pass data race	https://github.com/pingcap/tidb/pull/2167.patch	DDL hook callback 复用共享 store/txn context	是	与“DDL hook callback 复用共享 context 对象”同族	raw patch 在 callback 内改用 hookCtx := mock.NewContext(); hookCtx.Store = s.store
