review_status	case_id	case_path	pr_number	pr_title	pr_merged_at	test_type	test_path	test_name	failure_signature	patch_url	source_smell	final_disposition	subpattern_key	one_line_mechanism	migrate_target	notes
reviewed	pr-4167	cases/2017/08/pr-4167.json	4167	*: start GCWorker after bootstrap finish.	2017-08-15T14:36:57+08:00	unit	store/tikv/gc_worker_test.go	gc_worker_test	+ wg.Wait() // Wait create session finish in worker, some test code depend on this to avoid race.	https://github.com/pingcap/tidb/pull/4167.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 WaitGroup 等待 GCWorker 会话初始化完成，去掉用 time.Sleep 赌 bootstrap/调度时序。		GCWorker createSession 原先含 sleep/bootstrapped loop；修复改为显式同步与延后启动。
reviewed	pr-4708	cases/2017/10/pr-4708.json	4708	expression: Quit builtin function SLEEP when KILLed.	2017-10-09T10:12:37+08:00	unit	expression/evaluator_test.go	evaluator_test	// return 1 when SLEEP() is KILLed	https://github.com/pingcap/tidb/pull/4708.patch	time_sleep_for_sync	exclude		产品语义：SQL builtin SLEEP() 支持被 KILL/ctx cancel 中断，不是测试用 sleep 同步异步路径。		非 flaky sync smell。
reviewed	pr-8597	cases/2018/12/pr-8597.json	8597	stats: optimize unit test execution time	2018-12-06T17:30:21+08:00	unit	statistics/cmsketch_test.go	cmsketch_test	time.Sleep(1 * time.Second) (statistics/handle_test.go)	https://github.com/pingcap/tidb/pull/8597.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用显式 stats load/lease 控制替代 time.Sleep 等待统计信息加载完成。		例如改用 h.LoadNeededHistograms()/调整 lease。
reviewed	pr-12852	cases/2019/10/pr-12852.json	12852	*: fix bug that the kill command doesn't work when the killed session is waiting for the pessimistic lock	2019-10-24T17:26:12+08:00	unit	kv/mock_test.go	mock_test	Session stuck waiting for pessimistic lock despite kill signal (e.g. no periodic check of `killed` flag during wait), causing long waits or timeouts.	https://github.com/pingcap/tidb/pull/12852.patch	time_sleep_for_sync	exclude		产品修复：等待 pessimistic lock 时需要周期性检查 killed 标志；time.Sleep 主要作为 backoff/check interval。		主轴不是“测试用 sleep 同步”。
reviewed	pr-13381	cases/2019/11/pr-13381.json	13381	*: stabilize some tests for CI	2019-11-13T11:31:51+08:00	unit	ddl/util/syncer_test.go	syncer_test	Timeout / readiness check failure in `ddl/util/syncer_test.go` (100ms context timeout) or `domain/domain_test.go` (bounded wait for `SchemaValidator.IsStarted()`), especially under slow CI.	https://github.com/pingcap/tidb/pull/13381.patch	time_sleep_for_sync	watchlist		通过加大 timeout/循环次数缓解 CI 慢导致的启动/同步超时，仍依赖 sleep/时间窗口。		mitigation-only：缺少确定性同步原语或可复用条件。
reviewed	pr-13824	cases/2019/12/pr-13824.json	13824	*: support caching coprocessor responses	2019-12-31T18:24:40+08:00	unit	store/tikv/coprocessor_cache_test.go	TestGetSet	+ // Changed from 10ms to 50ms to resist from unstable CI environment.	https://github.com/pingcap/tidb/pull/13824.patch	time_sleep_for_sync	watchlist		ristretto cache Set 是异步的；测试通过 sleep(50ms) 等待可见性，属于窗口缓解。		mitigation-only：更理想是用 cache.Wait 或显式同步点。
reviewed	pr-14805	cases/2020/02/pr-14805.json	14805	session: make unit test TestDeadlock more stable	2020-02-15T23:02:54+08:00	unit	session/pessimistic_test.go	TestDeadlock	PR body: deadlock may be returned by either transaction; assert either of the two meets deadlock error instead of a certain one.	https://github.com/pingcap/tidb/pull/14805.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 channel 交接并允许两侧任一返回 deadlock，替代 sleep 做并发事务时序屏障。		避免“Sleep 10ms 等另一边拿锁”的窗口赌。
reviewed	pr-15065	cases/2020/03/pr-15065.json	15065	binlog_test: fix unit test error in ci	2020-03-03T09:50:10+08:00	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	PR body: try to fix binlog_test random failure in CI by adding wait time	https://github.com/pingcap/tidb/pull/15065.patch	time_sleep_for_sync	watchlist		轮询 binlog 时把 sleep(10ms) 加长到 30ms 以缓解 CI 慢。		mitigation-only：纯拉长 sleep。
reviewed	pr-15119	cases/2020/03/pr-15119.json	15119	binlog_test: fix sequence binlog test error in CI	2020-03-04T18:38:17+08:00	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	PR body: fix `binlog_test` CI error for sequence binlog; add wait time.	https://github.com/pingcap/tidb/pull/15119.patch	time_sleep_for_sync	watchlist		binlog 相关用例通过增加轮询次数/调整 sleep 来等异步写入可见。		mitigation-only：仍是时间窗口。
reviewed	pr-15094	cases/2020/03/pr-15094.json	15094	test: stablize read lock check case	2020-03-04T23:06:17+08:00	unit	session/pessimistic_test.go	pessimistic_test	PR title: stablize read lock check case.	https://github.com/pingcap/tidb/pull/15094.patch	time_sleep_for_sync	watchlist		并发锁相关测试通过小 sleep“让锁持有一会儿/让另一方先开始”等待窗口。		机制不够纯：部分 sleep 被移位但仍靠 timing。
