review_order	id	pr_number	pr_title	case_path	patch_url	source_smells	module	test_type	test_path	test_name	pr_merged_at
1	pr-8328	8328	*: clone AggDesc before modifying its `Mode` in AggDesc.Split	cases/2018/11/pr-8328.json	https://github.com/pingcap/tidb/pull/8328.patch	plan_cache_dependency	planner	unit	planner/core/prepare_test.go	prepare_test	2018-11-16T15:53:22+08:00
2	pr-8206	8206	plan: support `?` in Order By / Group By / Limit Offset clauses	cases/2018/12/pr-8206.json	https://github.com/pingcap/tidb/pull/8206.patch	plan_cache_dependency	planner	unit	executor/prepared_test.go	prepared_test	2018-12-03T21:48:55+08:00
3	pr-8556	8556	planner, executor: set memory size to MAXUint64 for prepare plan cache test	cases/2018/12/pr-8556.json	https://github.com/pingcap/tidb/pull/8556.patch	plan_cache_dependency	planner	unit	executor/prepared_test.go	prepared_test	2018-12-04T10:53:07+08:00
4	pr-8650	8650	planner/core: use stable sort to make CI stable	cases/2018/12/pr-8650.json	https://github.com/pingcap/tidb/pull/8650.patch	assert_exact_plan_or_cost	planner	unit	planner/core/rule_join_reorder_greedy.go	rule_join_reorder_greedy	2018-12-12T08:14:54+08:00
5	pr-9866	9866	planner, executor: merge window functions with same specification name	cases/2019/05/pr-9866.json	https://github.com/pingcap/tidb/pull/9866.patch	assert_exact_plan_or_cost	planner	unit	planner/core/logical_plan_test.go	logical_plan_test	2019-05-23T16:40:00+08:00
6	pr-11095	11095	planner/core: stabilize the execution order of window functions	cases/2019/07/pr-11095.json	https://github.com/pingcap/tidb/pull/11095.patch	assert_exact_plan_or_cost	planner	unit	planner/core/logical_plan_test.go	logical_plan_test	2019-07-08T16:33:15+08:00
7	pr-16378	16378	test: skip plan cache for prepared stmt's cache tests	cases/2020/04/pr-16378.json	https://github.com/pingcap/tidb/pull/16378.patch	assert_exact_plan_or_cost,plan_cache_dependency	executor	unit	executor/executor_test.go	executor_test	2020-04-15T13:48:18+08:00
8	pr-16525	16525	test: fix unit test and make test running serially.	cases/2020/04/pr-16525.json	https://github.com/pingcap/tidb/pull/16525.patch	plan_cache_dependency	test_infra	unit	executor/executor_test.go	executor_test	2020-04-20T17:44:27+08:00
9	pr-21071	21071	executor: fix unstable test of TestIntegrationCopCache	cases/2020/11/pr-21071.json	https://github.com/pingcap/tidb/pull/21071.patch	assert_exact_plan_or_cost	executor	unit	executor/executor_test.go	TestIntegrationCopCache	2020-11-17T12:02:28+08:00
10	pr-21657	21657	planner: make TestPreferRangeScan stable	cases/2020/12/pr-21657.json	https://github.com/pingcap/tidb/pull/21657.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	TestPreferRangeScan	2020-12-11T14:02:35+08:00
11	pr-22677	22677	*: use `explain format = 'brief'` for tests	cases/2021/02/pr-22677.json	https://github.com/pingcap/tidb/pull/22677.patch	assert_exact_plan_or_cost	planner	unit	executor/index_lookup_merge_join_test.go	index_lookup_merge_join_test	2021-02-22T17:50:06+08:00
12	pr-25138	25138	planner/core: remove unstable test	cases/2021/06/pr-25138.json	https://github.com/pingcap/tidb/pull/25138.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	integration_test	2021-06-04T15:36:39+08:00
13	pr-25345	25345	planner: make sure limit outputs no more columns than its child	cases/2021/06/pr-25345.json	https://github.com/pingcap/tidb/pull/25345.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	integration_test	2021-06-17T01:16:38+08:00
