review_status	case_id	case_path	pr_number	pr_title	test_type	test_path	test_name	patch_url	source_smell	最终去向	归属subpattern	一句机制说明	迁移目标	备注
reviewed	pr-12852	cases/2019/10/pr-12852.json	12852	*: fix bug that the kill command doesn't work when the killed session is waiting for the pessimistic lock	unit	kv/mock_test.go	mock_test	https://github.com/pingcap/tidb/pull/12852.patch	async_wait_without_backoff	retain	等待/重试循环必须可中断：检查 ctx/killed，避免不可取消的 Sleep 等待	等待 pessimistic lock 的内部等待期不检查 killed，导致 kill 不生效/挂死；修法是把 killed 标志贯穿到 lock 获取链路并在 sleep-wait 中周期检查并中断。		
reviewed	pr-15065	cases/2020/03/pr-15065.json	15065	binlog_test: fix unit test error in ci	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	https://github.com/pingcap/tidb/pull/15065.patch	async_wait_without_backoff	migrate		DDL binlog 可见性轮询仍是固定 sleep，仅把 10ms 调到 30ms 属于等待窗口调参缓解。	time_sleep_for_sync	更像 `time_sleep_for_sync`（无更硬 completion barrier）
reviewed	pr-15119	cases/2020/03/pr-15119.json	15119	binlog_test: fix sequence binlog test error in CI	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	https://github.com/pingcap/tidb/pull/15119.patch	async_wait_without_backoff	migrate		binlog/pump 轮询主要通过调大轮询次数/等待窗口与重置 payloads 缓解，仍是固定 sleep 轮询口径。	time_sleep_for_sync	同时带 `insufficient_cleanup_between_tests`，但主修法仍是 sleep/轮询调参
reviewed	pr-25278	cases/2021/06/pr-25278.json	25278	server: fix test for clienterrors	unit	server/server_test.go	server_test	https://github.com/pingcap/tidb/pull/25278.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 E: async completion barrier/join	clienterrors/warnings 计数在网络 send/结果消费后才更新；修法是显式读取/消费 ResultSet 再断言。		同型样本当前不足以升格正式 subpattern
reviewed	pr-27113	cases/2021/08/pr-27113.json	27113	planner: fix the unstable test TestForAnalyzeStatus	unit	executor/infoschema_reader_test.go	TestForAnalyzeStatus	https://github.com/pingcap/tidb/pull/27113.patch	async_wait_without_backoff	migrate		ANALYZE 后 stats/histogram 可见性是异步的；修法是显式 `LoadNeededHistograms()`（stats ready barrier）再断言。	patterns/plan_stability_and_stats_dependency	更像 umbrella sibling：统计信息真正 load/materialize/apply 之前不应断言
reviewed	pr-29477	cases/2021/11/pr-29477.json	29477	*: insert/update or explain should not trigger table cache condition	unit	table/tables/cache_test.go	TestCacheCondition	https://github.com/pingcap/tidb/pull/29477.patch	async_wait_without_backoff	migrate		cached table readiness 非即时；修法是循环执行直到 `StmtCtx.CacheTableUsed()`/`UnionScan` 等 cache-ready 信号出现。	patterns/plan_stability_and_stats_dependency	更像 umbrella sibling：cache-hit/read-from-cache 必须先等 cache ready
reviewed	pr-29499	cases/2021/11/pr-29499.json	29499	ddl: make CI TestDropSchemaWithPartitionTable stable	unit	ddl/db_partition_test.go	TestDropSchemaWithPartitionTable	https://github.com/pingcap/tidb/pull/29499.patch	async_wait_without_backoff	retain	DDL delete-range 清理由异步 GC 驱动：用 mysql.gc_delete_range(_done) 取代扫 KV/盲等	DDL drop schema/partition 的 delete-range done 是异步的；修法是轮询 `mysql.gc_delete_range_done`，超时则记录日志并放弃后续脆弱检查。		
reviewed	pr-29651	cases/2021/11/pr-29651.json	29651	test: improve test by checking gc_delete_range instead of scanning keys	unit	ddl/db_partition_test.go	db_partition_test	https://github.com/pingcap/tidb/pull/29651.patch	async_wait_without_backoff	retain	DDL delete-range 清理由异步 GC 驱动：用 mysql.gc_delete_range(_done) 取代扫 KV/盲等	原测试通过扫索引 KV 判断清理完成（固定轮询+sleep）不稳；修法是通过 DDL hook 拿 jobID，再查 `mysql.gc_delete_range/_done` 断言 delete-range 状态。		
reviewed	pr-29900	cases/2021/11/pr-29900.json	29900	*: fix unstable test TestStoreGlobalConfig	unit	domain/globalconfigsync/globalconfig_test.go	TestStoreGlobalConfig	https://github.com/pingcap/tidb/pull/29900.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 B: async publish visibility lag	写入 etcd 是异步的，测试不能立刻断言 kv 已存在；修法是 bounded retry + sleep，直到 `Get` 返回 kv 或超时 fail。		当前仅 1 条同型样本，先观察
reviewed	pr-30576	cases/2021/12/pr-30576.json	30576	planner: fix the unstable test TestAnalyzeGlobalStatsWithOpts/2	unit	statistics/handle/handle_test.go	TestAnalyzeGlobalStatsWithOpts/2	https://github.com/pingcap/tidb/pull/30576.patch	async_wait_without_backoff	migrate		stats 输出/结构依赖异步 load/materialize；修法是改用 `TableStatsFromStorage` 拉取并只对已加载部分做断言。	patterns/plan_stability_and_stats_dependency	更像 umbrella sibling：统计信息真正 load/materialize/apply 之前不应断言
reviewed	pr-32464	cases/2022/02/pr-32464.json	32464	topsql: fix unstable test in reporter	unit	util/topsql/reporter/single_target_test.go	single_target_test	https://github.com/pingcap/tidb/pull/32464.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 A: delta-wait baseline capture	异步上报可能在 WaitCollectCnt 调用前已发生，导致 wait 基线采样过晚而永远等不到；修法是先取 baseline count，再触发发送，并分别等待 records/sqlMeta delta。		机制清晰但目前单点，先放 watchlist
reviewed	pr-33666	cases/2022/04/pr-33666.json	33666	br: Fix unstable s3 test (again)	unit	br/tests/br_s3/run.sh	run	https://github.com/pingcap/tidb/pull/33666.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 D: external readiness probe	外部服务（minio）启动 readiness 探测逻辑不稳；修法是按 http_code/异常做更稳的循环探测，再进入后续流程。		外部依赖 readiness 方向目前仅 1 条
reviewed	pr-33809	cases/2022/04/pr-33809.json	33809	*: fix unstable case `TestIssue29282`	unit	ddl/db_integration_test.go	TestIssue29282	https://github.com/pingcap/tidb/pull/33809.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 E: async completion barrier/join	后台 rollback/query 清理由异步 goroutine 完成；修法是显式等待完成信号（channel）并用 `time.After` 设上限。		当前不成簇
reviewed	pr-36972	cases/2022/08/pr-36972.json	36972	log-backup: fixed the unstable test case TestBasic	unit	br/pkg/streamhelper/advancer_test.go	TestBasic	https://github.com/pingcap/tidb/pull/36972.patch	async_wait_without_backoff	migrate		模拟器随机推进 checkpoint 允许 0 导致概率失败；修法是确保每次推进至少 +1。	randomized_test_input	不是等待/backoff 问题，本质是随机输入/随机模拟导致概率失败
reviewed	pr-38820	cases/2022/11/pr-38820.json	38820	table/tables: fix unstable test TestCacheTableBasicReadAndWrite	unit	table/tables/cache_test.go	TestCacheTableBasicReadAndWrite	https://github.com/pingcap/tidb/pull/38820.patch	async_wait_without_backoff	migrate		缓存读路径 ready/可见性有异步因素；测试在等待 cache-hit 时对行值的逐轮硬断言过脆，修法是调整为与异步更新一致的断言口径。	patterns/plan_stability_and_stats_dependency	更像 umbrella sibling：cache-hit/read-from-cache 必须先等 cache ready（并避免逐轮硬断言）
reviewed	pr-39294	cases/2022/11/pr-39294.json	39294	extension: fix unstable test `TestExtensionConnEvent`	unit	server/tidb_test.go	TestExtensionConnEvent	https://github.com/pingcap/tidb/pull/39294.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 E: async completion barrier/join	conn event logs 是异步写入；修法是增加 waitEvent(tp) 等待握手/断连事件到达再断言日志序列。		同型样本不足
reviewed	pr-40975	cases/2023/02/pr-40975.json	40975	test: stabilize TestAddIndexMergeConflictWithPessimistic	unit	ddl/indexmergetest/merge_test.go	TestAddIndexMergeConflictWithPessimistic	https://github.com/pingcap/tidb/pull/40975.patch	async_wait_without_backoff	migrate		测试线程与 DDL hook goroutine 的时序竞态：主线程在 pessimistic DML 尚未发生时就推进后续步骤；修法是加 channel barrier 等到 DML 完成。	patterns/race_condition_in_async_code	更像“缺同步屏障导致的并发时序竞态”
reviewed	pr-43079	cases/2023/04/pr-43079.json	43079	lightning: always retry from needRescan when NotLeader	unit	br/pkg/lightning/backend/local/local_test.go	local_test	https://github.com/pingcap/tidb/pull/43079.patch	async_wait_without_backoff	watchlist	watchlist/singleton	内部 getRegion nil 的 retry-loop（固定 1s sleep）会造成不稳定/延迟；修法是把 NotLeader 直接转成 needRescan，让外层调度重试。		偏生产代码策略调整，当前单点
reviewed	pr-43273	cases/2023/04/pr-43273.json	43273	*: fix unstable test TestIndexMergeReaderClose	unit	executor/seqtest/seq_executor_test.go	TestIndexMergeReaderClose	https://github.com/pingcap/tidb/pull/43273.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 E: async completion barrier/join	goroutine 退出是异步的；修法是用 `require.Eventually` 等到 `checkGoroutineExists(...)==false` 再断言，避免瞬时竞态。		当前仅 1 条同型
reviewed	pr-44168	cases/2023/05/pr-44168.json	44168	planner: fix unstable test TestAggPushToCopForCachedTable	unit	planner/core/integration_test.go	TestAggPushToCopForCachedTable	https://github.com/pingcap/tidb/pull/44168.patch	async_wait_without_backoff	migrate		断言 cached table `ReadFromTableCache` 的 readiness 非即时；修法是 `require.Eventually` 等 cache-ready，而不是固定 10 次循环。	patterns/plan_stability_and_stats_dependency	更像 umbrella sibling：cache-hit/read-from-cache 必须先等 cache ready
reviewed	pr-45648	cases/2023/07/pr-45648.json	45648	*: fix unstable test for lfu and index merge	unit	statistics/handle/cache/internal/lfu/lfu_cache_test.go	lfu_cache_test	https://github.com/pingcap/tidb/pull/45648.patch	async_wait_without_backoff	watchlist	watchlist/候选簇 E: async completion barrier/join	LFU cache 的 cost/mem 统计可能在异步路径更新；修法是在 Put 后调用内部 wait 再断言，并把 bazel timeout 提到 moderate。		混合“等待内部刷新”与“调大 timeout”，暂不 formalize
reviewed	pr-45657	cases/2023/07/pr-45657.json	45657	importintotest: fail fast to avoid data race	realtikv	tests/realtikvtest/importintotest/job_test.go	TestLoadRemote/TestShowDetachedJob	https://github.com/pingcap/tidb/pull/45657.patch	async_wait_without_backoff	watchlist	watchlist/singleton	Eventually 失败后继续执行会放大后续竞态风险；修法把 `s.Eventually` 换成 `s.Require().Eventually` 并调大 timeout，确保等待失败时立刻终止用例。		与“Eventually 使用方式”相关，但当前同型不足
